year,personID,name,gender,HL.50K,T.MTN,PL.50K,GS.100,MMTR,Hellgate,Total.Beast.Time
2014,P2121,Jordan Chang ,M,5:26:26,4:40:24,5:29:24,20:05:37,8:25:19,14:05:51,58:13:01
2014,P2130,Justin Blessing ,M,7:04:54,5:57:30,6:50:35,29:36:17,9:50:43,17:08:04,76:28:03
2014,P203,Kyle Fricke ,M,5:42:08,5:14:28,5:55:55,24:20:17,8:49:37,13:52:00,63:54:25
2014,P194,Marc Griffin ,M,6:00:05,5:26:10,5:45:30,27:03:59,9:11:26,13:58:58,67:26:08
2014,P171,Michael Hannon ,M,7:07:27,6:35:22,6:53:37,31:04:17,11:28:46,17:01:13,80:10:42
2014,P166,Michael Matteson ,M,8:02:43,7:44:30,8:25:40,34:06:08,11:27:01,17:22:38,87:08:40
2014,P165,Michael Myers ,M,6:11:43,5:45:52,6:09:48,24:42:00,9:02:39,13:44:43,65:36:45
2014,P3036,Mike Mitchell ,M,7:32:19,6:15:14,6:49:52,34:46:45,11:52:15,16:29:44,83:46:09
2014,P3037,Mike Pflieger ,M,6:34:24,5:29:39,5:59:03,27:11:18,9:50:25,14:27:54,69:32:43
2014,P3038,Mike Sutherland ,M,7:38:08,7:03:17,7:30:19,29:02:53,11:35:33,16:36:28,79:26:38
2014,P1,Ryan Cooper ,M,5:35:05,5:01:47,5:52:37,23:49:14,9:16:51,13:19:32,62:55:06
2014,P104,Ryan Nebel ,M,6:00:32,5:09:19,6:33:31,27:55:22,9:18:08,13:49:24,68:46:16
2014,P3043,Ryan Paavola ,M,4:51:35,4:31:04,5:06:16,21:09:58,7:55:48,10:45:49,54:20:30
2014,P3045,Siobhan Leonardis ,F,6:47:42,5:51:47,6:26:34,29:06:45,11:03:54,16:19:46,75:36:28
2014,P3046,Stephan Dobson ,M,6:24:17,5:57:40,6:44:48,29:40:28,10:48:28,17:04:54,76:40:35
2014,P71,Tammy Godin ,F,7:24:34,6:37:22,6:50:31,32:06:57,11:27:04,17:37:06,82:03:34
2014,P3047,Tom Pluim ,M,6:29:07,6:38:55,7:13:25,28:49:17,10:47:49,16:17:10,76:15:43
2014,P3049,Troy Siemers ,M,5:48:10,5:18:21,5:59:06,29:52:29,10:45:30,16:09:47,73:53:23
2013,P1026,Anthony Sweitzer ,M,5:23:01,6:03:05,6:54:39,NA,10:14:30,15:25:20,44:00:35
2013,P1030,Austin Burling ,M,4:38:39,5:48:43,5:58:26,NA,8:38:43,14:26:12,39:30:43
2013,P1045,Brad Hinton ,M,4:05:51,4:34:41,5:21:27,NA,8:08:01,12:02:32,34:12:32
2013,P1050,Brian Dibeler ,M,5:50:47,6:07:22,6:47:26,NA,10:44:21,15:45:03,45:14:59
2013,P1056,Brian Trinkle ,M,5:37:31,6:22:30,7:19:13,NA,11:29:45,16:59:11,47:48:10
2013,P1087,Daniel Bergin ,M,5:21:16,6:10:36,7:47:49,NA,11:17:33,16:39:22,47:16:36
2013,P1089,Danny Mowers ,M,5:19:02,5:44:37,5:58:32,NA,9:37:13,14:31:35,41:10:59
2013,P1097,David Dirito ,M,4:32:37,5:16:29,5:53:29,NA,9:51:43,13:37:26,39:11:44
2013,P2014,Diane Behm ,F,6:22:50,6:47:20,7:59:34,NA,11:55:57,17:20:52,50:26:33
2013,P2035,Ernesto Casarez ,M,6:00:55,6:23:53,6:51:47,NA,11:05:20,16:48:49,47:10:44
2013,P2038,Frank Gonzalez ,M,3:54:17,4:15:00,4:58:57,NA,7:46:32,11:39:08,32:33:54
2013,P2024,Greg Loomis ,M,5:08:50,5:33:36,6:20:10,NA,9:53:10,15:59:21,42:55:07
2013,P2059,Jack Anderson,M,4:47:43,4:52:07,5:31:13,NA,9:21:02,16:39:38,41:11:43
2013,P2071,Jarett Tighe,M,5:39:01,5:58:09,6:27:38,NA,10:16:29,16:08:03,44:29:20
2013,P2096,Jim Ashworth,M,5:31:52,5:49:12,6:20:07,NA,11:00:22,15:54:48,44:36:21
2013,P2121,Jordan Chang ,M,4:09:10,5:07:11,5:17:37,NA,9:51:08,14:23:33,38:48:39
2013,P2130,Justin Blessing ,M,5:06:47,5:49:29,7:19:53,NA,10:56:11,16:17:45,45:30:05
